igekötő	reduplikáció	fele	deverbális_tagadás	fokozhatóság	szerkesztettség	szótagszám	gyakoriság	Pm	Pt	Pl	személyragozhatóság
számot	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.1836979922517488	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
szárba	1.491929865968994	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.9554489189743225	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
szárnyra	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.0015067191891038	-0.4843706013552963	-0.5497664804233818	1.1658656406173888	-0.23197340190811358
szarrá	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.8118045524415968	-0.4843706013552963	-0.4319483931472286	1.9331715700008316	-0.23197340190811358
széjjel	-0.45341831526752546	2.649985123928976	-0.4752462760096982	3.3130609087851894	-1.7469184691710817	0.006178244195487286	0.4051941901838882	0.7324994126108509	1.0868329858550618	1.4921970335718437	-0.23197340190811358
szembe	-0.45341831526752546	-0.374270239045317	1.9539409890619175	-0.3123653961545721	0.5724365605193372	0.006178244195487286	1.219458282649769	0.6944520272272082	0.7438969923744447	-0.6729611747521467	-0.23197340190811358
szemben	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.20435128754922768	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
szemen	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.6268397687886101	-0.4843706013552963	-0.4319483931472286	1.5632678015541739	-0.23197340190811358
szemet	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.6454650860792384	-0.4843706013552963	-0.5497664804233818	0.24470187438082255	-0.23197340190811358
szemmel	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.2682447298796493	-0.5466268791587646	-0.5497664804233818	1.7710235066817643	-0.23197340190811358
szemre	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.30883838489429544	-0.5466268791587646	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
szénné	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-1.3740008471477945	-0.4843706013552963	-0.49027809414718754	2.122545815991902	-0.23197340190811358
szerte	-0.45341831526752546	2.1240003432145316	-0.4752462760096982	-0.3123653961545721	-1.7469184691710817	0.006178244195487286	0.7374012172033746	0.6556487053103837	1.0298526709847076	0.268257913560508	-0.23197340190811358
szét	2.288787703344871	2.7053137507874716	2.266664970717176	-0.3123653961545721	-1.7469184691710817	-2.2349120844002037	1.4333979154507153	2.5877398699632423	2.4825168390666588	-0.49790301366175904	-0.23197340190811358
színre	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	-0.49236943113476384	-0.4843706013552963	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
szóba	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.4989517896226074	-0.4843706013552963	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
szörnyet	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	0.006178244195487286	0.49629450573531475	-0.5466268791587646	-0.5497664804233818	-0.7557829426767482	-0.23197340190811358
szót	-0.45341831526752546	-0.374270239045317	-0.4752462760096982	-0.3123653961545721	0.5724365605193372	-2.2349120844002037	-0.5922517313624716	-0.4843706013552963	-0.5497664804233818	-0.7913180807954471	-0.23197340190811358
